timestamp,open,high,low,close
2026-03-20 09:00:00,1.08000,1.08020,1.07990,1.08010
2026-03-20 09:01:00,1.08010,1.08030,1.08000,1.08020
2026-03-20 09:02:00,1.08020,1.08040,1.08010,1.08030
2026-03-20 09:03:00,1.08030,1.08050,1.08020,1.08040
2026-03-20 09:04:00,1.08040,1.08060,1.08030,1.08050
2026-03-20 09:05:00,1.08050,1.08070,1.08040,1.08060
2026-03-20 09:06:00,1.08060,1.08080,1.08050,1.08070
2026-03-20 09:07:00,1.08070,1.08090,1.08060,1.08080
2026-03-20 09:08:00,1.08080,1.08100,1.08070,1.08090
2026-03-20 09:09:00,1.08090,1.08110,1.08080,1.08100
2026-03-20 09:10:00,1.08100,1.08120,1.08090,1.08110
2026-03-20 09:11:00,1.08110,1.08130,1.08100,1.08120
2026-03-20 09:12:00,1.08120,1.08140,1.08110,1.08130
2026-03-20 09:13:00,1.08130,1.08150,1.08120,1.08140
2026-03-20 09:14:00,1.08140,1.08160,1.08130,1.08150
2026-03-20 09:15:00,1.08150,1.08170,1.08140,1.08160
2026-03-20 09:16:00,1.08160,1.08180,1.08150,1.08170
2026-03-20 09:17:00,1.08170,1.08190,1.08160,1.08180
2026-03-20 09:18:00,1.08180,1.08200,1.08170,1.08190
2026-03-20 09:19:00,1.08190,1.08210,1.08180,1.08200
2026-03-20 09:20:00,1.08200,1.08205,1.08175,1.08180
2026-03-20 09:21:00,1.08180,1.08185,1.08150,1.08160
2026-03-20 09:22:00,1.08160,1.08165,1.08130,1.08140
2026-03-20 09:23:00,1.08140,1.08145,1.08110,1.08120
2026-03-20 09:24:00,1.08120,1.08125,1.08090,1.08100
2026-03-20 09:25:00,1.08100,1.08105,1.08070,1.08080
2026-03-20 09:26:00,1.08080,1.08085,1.08050,1.08060
2026-03-20 09:27:00,1.08060,1.08065,1.08030,1.08040
2026-03-20 09:28:00,1.08040,1.08045,1.08010,1.08020
2026-03-20 09:29:00,1.08020,1.08025,1.07990,1.08000
2026-03-20 09:30:00,1.08000,1.08025,1.07995,1.08015
2026-03-20 09:31:00,1.08015,1.08040,1.08010,1.08030
2026-03-20 09:32:00,1.08030,1.08055,1.08025,1.08045
2026-03-20 09:33:00,1.08045,1.08070,1.08040,1.08060
2026-03-20 09:34:00,1.08060,1.08085,1.08055,1.08075
2026-03-20 09:35:00,1.08075,1.08100,1.08070,1.08090
2026-03-20 09:36:00,1.08090,1.08115,1.08085,1.08105
2026-03-20 09:37:00,1.08105,1.08130,1.08100,1.08120
2026-03-20 09:38:00,1.08120,1.08145,1.08115,1.08135
2026-03-20 09:39:00,1.08135,1.08160,1.08130,1.08150
